Team,Wins
Cubs,11
Cubs,8
Cubs,10
Cubs,12
Cubs,11
Cubs,11
Cubs,12
Cubs,11
Cubs,9
Cubs,11
Cubs,7
Cubs,12
Cubs,9
Cubs,9
Cubs,11
Cubs,10
Cubs,12
Cubs,11
Cubs,7
Cubs,11
Cubs,10
Cubs,12
Cubs,11
Cubs,10
Cubs,8
Cubs,10
Cubs,9
Cubs,12
Cubs,11
Cubs,11
Cubs,11
Cubs,9
Cubs,10
Cubs,9
Cubs,12
Cubs,10
Cubs,10
Cubs,9
Cubs,11
Cubs,8
Cubs,11
Cubs,11
Cubs,11
Cubs,11
Cubs,12
Cubs,10
Cubs,9
Cubs,12
Cubs,12
Cubs,12
Cubs,12
Cubs,11
Cubs,12
Cubs,9
Cubs,11
Cubs,12
Cubs,10
Cubs,8
Cubs,10
Cubs,11
Cubs,10
Cubs,11
Cubs,11
Cubs,10
Cubs,11
Cubs,11
Cubs,10
Cubs,10
Cubs,11
Cubs,11
Cubs,10
Cubs,7
Cubs,11
Cubs,11
Cubs,12
Cubs,9
Cubs,10
Cubs,10
Cubs,10
Cubs,10
Cubs,9
Cubs,11
Cubs,11
Cubs,9
Cubs,9
Cubs,10
Cubs,10
Cubs,10
Cubs,10
Cubs,11
Cubs,11
Cubs,9
Cubs,12
Cubs,12
Cubs,11
Cubs,11
Cubs,9
Cubs,12
Cubs,11
Cubs,11
Cubs,11
Cubs,11
Cubs,11
Cubs,8
Cubs,10
Cubs,9
Cubs,11
Cubs,11
Cubs,11
Cubs,10
Cubs,11
Cubs,10
Cubs,12
Cubs,9
Cubs,8
Cubs,12
Cubs,12
Cubs,10
Cubs,11
Cubs,10
Cubs,8
Cubs,9
Cubs,10
Cubs,11
Cubs,9
Cubs,12
Cubs,12
Cubs,12
Cubs,8
Cubs,8
Cubs,10
Cubs,8
Cubs,11
Cubs,11
Cubs,12
Cubs,12
Cubs,11
Cubs,10
Cubs,10
Cubs,9
Cubs,12
Cubs,12
Cubs,12
Cubs,11
Cubs,12
Cubs,11
Cubs,10
Cubs,10
Cubs,9
Cubs,10
Cubs,10
Cubs,10
Cubs,10
Cubs,11
Cubs,10
Cubs,9
Cubs,12
Cubs,12
Cubs,10
Cubs,12
Cubs,11
Cubs,12
Cubs,12
Cubs,9
Cubs,11
Cubs,11
Cubs,9
Cubs,12
Cubs,11
Cubs,11
Cubs,11
Cubs,9
Cubs,12
Cubs,10
Cubs,10
Cubs,11
Cubs,11
Cubs,8
Cubs,11
Cubs,11
Cubs,10
Cubs,11
Cubs,11
Cubs,10
Cubs,11
Cubs,12
Cubs,12
Cubs,10
Cubs,12
Cubs,11
Cubs,12
Cubs,10
Cubs,9
Cubs,10
Cubs,11
Cubs,9
Cubs,11
Cubs,10
Cubs,11
Cubs,10
Cubs,10
Cubs,10
Cubs,10
Cubs,10
Cubs,11
Cubs,12
Cubs,12
Cubs,10
Cubs,9
Cubs,10
Cubs,9
Cubs,10
Cubs,11
Cubs,12
Cubs,8
Cubs,10
Cubs,9
Cubs,10
Cubs,10
Cubs,12
Cubs,11
Cubs,10
Cubs,11
Cubs,10
Cubs,9
Cubs,11
Cubs,10
Cubs,10
Cubs,9
Cubs,11
Cubs,12
Cubs,11
Cubs,11
Cubs,11
Cubs,12
Cubs,12
Cubs,11
Cubs,10
Cubs,10
Cubs,9
Cubs,10
Cubs,10
Cubs,9
Cubs,9
Cubs,12
Cubs,10
Cubs,10
Cubs,10
Cubs,10
Cubs,12
Cubs,9
Cubs,11
Cubs,9
Cubs,11
Cubs,12
Cubs,12
Cubs,11
Cubs,9
Cubs,11
Cubs,10
Cubs,12
Cubs,10
Cubs,9
Cubs,11
Cubs,7
Cubs,10
Cubs,8
Cubs,11
Cubs,9
Cubs,9
Cubs,11
Cubs,11
Cubs,10
Cubs,8
Cubs,12
